Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Brenton Doyle","COL",138,538,15,57,57,18,0.055762081,0.256505576,0.143426294,0.288951841,0.233067729,0.274253731,0.376494023,0.28211541017934455,0.2964436677511265,65.19035574944472,1.2834954019635916,-20.912573603328386,7.265263199806213,0.43504104952163714,"Brenton Doyle",25479,686668
"Anthony Volpe","NYY",153,596,19,65,72,18,0.072147651,0.251677852,0.179962895,0.251989389,0.211502782,0.271500843,0.391465677,0.28633192176561534,0.2986349585084449,82.91537728484958,1.1349963136017323,-10.86619135782473,0.30709314346313477,1.0184446723868927,"Anthony Volpe",27647,683011
"Maikel Garcia","KCR",160,666,16,81,74,23,0.093093093,0.126126126,0.16302521,0.308,0.285714285,0.35143288,0.448739495,0.3469151187446502,0.3348814117385472,120.50392963812814,1.1092503610998392,17.203988194382053,14.949350118637085,5.634961600472064,"Maikel Garcia",22715,672580
"Ernie Clement","TOR",157,588,9,83,50,6,0.045918367,0.103741496,0.121100917,0.295833333,0.27706422,0.313253012,0.398165137,0.30834983885288236,0.29002949610892975,97.55813512606845,1.082478104159236,-0.6097991944263499,11.738574504852295,3.2092141096943445,"Ernie Clement",20352,676391
"Matt Chapman","SFG",128,535,21,76,61,9,0.13271028,0.235514018,0.198237885,0.270096463,0.231277533,0.340186915,0.429515418,0.33623319853111155,0.34061146139652093,118.30905700722285,0.8733422290533781,12.482854227012178,5.8612751960754395,3.697953823680849,"Matt Chapman",16505,656305
"Willy Adames","SFG",160,686,30,94,87,12,0.116618075,0.260932944,0.196277495,0.263427109,0.225042301,0.318248175,0.421319796,0.3207774200690787,0.3263157564051011,107.7213517013979,0.8597658015787601,7.137626230959983,9.58981466293335,4.046544656245317,"Willy Adames",15986,642715
"Cody Bellinger","NYY",152,656,29,89,98,13,0.086890243,0.137195121,0.207482993,0.274058577,0.272108843,0.333841463,0.479591836,0.34747452362803105,0.32233294593612416,125.03422753309191,0.8509355094283819,20.20671248649219,5.125375747680664,4.901848046001733,"Cody Bellinger",15998,641355
"Otto Lopez","MIA",143,594,15,66,77,15,0.074074074,0.138047138,0.121323529,0.264444444,0.246323529,0.304713804,0.367647058,0.2948251313253029,0.32845210705773303,86.20880953158606,0.7156087141484022,-8.993568036103472,11.857356071472168,2.3149549397280738,"Otto Lopez",19608,672640
"J.T. Realmuto","PHI",134,550,12,57,52,8,0.063636363,0.234545454,0.12749004,0.321428571,0.256972111,0.315118397,0.384462151,0.3065890470777985,0.3150392239981324,93.99800739965843,0.6545695904642344,-3.2579123952271,5.317486047744751,2.0828994042225712,"J.T. Realmuto",11739,592663
"Shea Langeliers","ATH",123,523,31,73,72,7,0.068833652,0.196940726,0.25987526,0.289772727,0.276507276,0.325047801,0.536382536,0.36381869686060936,0.3275157656513427,132.34545220078905,0.6414712704718113,20.57974209699461,-0.027740478515625,3.9444351098044796,"Shea Langeliers",25816,669127
"Andy Pages","LAD",156,624,27,74,86,14,0.046474358,0.216346153,0.189328744,0.308235294,0.271944922,0.3125,0.461273666,0.33191527751011723,0.31565333564500303,113.46694603698575,0.5895143374800682,10.549252366616011,8.428885668516159,4.0657734805553964,"Andy Pages",24816,681624
"Ryan McMahon","- - -",154,586,20,62,53,3,0.119453924,0.322525597,0.166994106,0.293729372,0.214145383,0.312286689,0.381139489,0.3061282659188295,0.3228586601884398,86.33602902288065,0.578139740973711,-8.892957545750308,8.12303102016449,1.9376803866337744,"Ryan McMahon",15112,641857
"Josh Naylor","- - -",147,604,20,81,92,30,0.079470198,0.137417218,0.167587477,0.314606741,0.2946593,0.353333333,0.462246777,0.3507002030042994,0.33183197534384845,127.55957763351991,0.5727553926408291,20.25019169334074,-9.822434782981873,3.1475515650823,"Josh Naylor",18839,647304
"Bryan Reynolds","PIT",154,654,16,68,73,3,0.087155963,0.264525993,0.156729132,0.319201995,0.245315161,0.318042813,0.402044293,0.3146605150257829,0.3383571414128403,99.2542017197389,0.48808425292372704,-0.09000291825098516,-11.086689710617065,1.0826757896286714,"Bryan Reynolds",19326,668804
"Jo Adell","LAA",152,573,37,63,98,5,0.057591623,0.263525305,0.24904943,0.256637168,0.235741444,0.292982456,0.484790874,0.3325408399105072,0.36249610619301953,112.44059254643317,0.4728593211621046,8.874580466998541,-16.59279489517212,1.228109735835122,"Jo Adell",20220,666176
"Steven Kwan","CLE",156,693,11,81,56,21,0.079365079,0.086580086,0.1024,0.283422459,0.272,0.330434782,0.3744,0.30951694633032,0.3082328618958939,98.94299726875172,0.4605597723275423,-0.40278033899917554,7.592094421386719,3.1759081246428837,"Steven Kwan",24610,680757
"Jorge Polanco","SEA",138,524,26,64,78,6,0.080152671,0.156488549,0.229299363,0.269021739,0.265392781,0.326295585,0.494692144,0.3498725429177284,0.34111201946551983,132.0893588053727,0.20632861740887165,20.024560299196075,-12.297992467880249,2.6357541560311515,"Jorge Polanco",13152,593871
"Junior Caminero","TBR",154,653,45,93,110,7,0.062787136,0.191424196,0.270764119,0.259681093,0.264119601,0.310872894,0.53488372,0.356518121127702,0.3441224925895257,129.25356454772745,0.031236344948410988,22.54585257077762,-0.42749929428100586,4.562478449126252,"Junior Caminero",28163,691406
"Gavin Lux","CIN",140,503,5,49,53,1,0.111332007,0.226640159,0.105381166,0.350609756,0.269058295,0.349900596,0.374439461,0.3223411711025428,0.2955424193122515,101.51911393615171,-0.05265051685273647,0.8529831077542394,-14.726637363433838,0.29274456160704043,"Gavin Lux",19955,666158
"Miguel Vargas","CHW",138,569,16,80,60,6,0.098418277,0.175746924,0.166666666,0.260869565,0.234126984,0.316344463,0.40079365,0.31439264566491903,0.3149728372063435,100.85992923636091,-0.056938376277685165,0.5197584426532015,-6.912269830703735,1.34966002584563,"Miguel Vargas",20178,678246
"Brent Rooker","ATH",162,699,30,92,89,6,0.092989985,0.22174535,0.217252396,0.302483069,0.26198083,0.335243553,0.479233226,0.34876540475001594,0.3523604047590864,121.97580261381478,-0.17605563811957836,17.928776236084158,-18.404823303222656,2.412774331400491,"Brent Rooker",19627,667670
"Jordan Beck","COL",148,588,16,62,53,19,0.073129251,0.295918367,0.157699443,0.351428571,0.257884972,0.316865417,0.415584415,0.3189856100326096,0.2993074181961687,90.44762839813002,-0.1825512908399105,-6.839615420679218,-4.161144971847534,0.8760143498358415,"Jordan Beck",31431,687597
"Addison Barger","TOR",135,502,21,61,74,4,0.071713147,0.241035856,0.210869566,0.284375,0.24347826,0.301397205,0.454347826,0.3217406139767146,0.3312470342071963,106.7825389781929,-0.199411790817976,3.8135829471446305,0.36840319633483887,2.1956276190985826,"Addison Barger",24598,680718
"Mookie Betts","LAD",150,663,20,95,82,8,0.092006033,0.102564102,0.147707979,0.258317025,0.258064516,0.325791855,0.405772495,0.31784157628551374,0.32742842819975654,103.82600808653768,-0.3311624873895198,2.675284966846197,8.635106563568115,3.41402158099717,"Mookie Betts",13611,605141
"Jacob Wilson","ATH",125,523,13,62,63,5,0.051625239,0.074569789,0.133744856,0.317241379,0.310699588,0.355086372,0.444444444,0.34788482865461934,0.30298250002833355,121.36920669600204,-0.33341252617537975,12.838919330803245,2.9951045513153076,3.4617269427955386,"Jacob Wilson",33266,805779
