,game_year,pitcher,player_name,Shape+,shape_rv,foul,barrel,solid,flr_brn,under,topped,weak,swstr,count,Name
159,2023,605280,"Holmes, Clay",124,0.015,11.9,0.2,0.2,2.4,0.9,8.1,0.3,17.8,1024,Clay Holmes
160,2023,605288,"Houser, Adrian",90,-0.00485,18.4,1.5,1.3,5.0,3.5,8.2,1.0,11.1,1856,Adrian Houser
161,2023,605347,"López, Jorge",103,0.00262,16.8,0.8,0.6,4.0,2.7,7.3,0.9,11.8,966,Jorge López
162,2023,605397,"Musgrove, Joe",97,-0.00076,17.8,1.4,1.2,5.5,3.9,8.2,0.6,14.9,1550,Joe Musgrove
163,2023,605400,"Nola, Aaron",96,-0.00167,19.1,1.4,1.0,5.1,4.4,7.1,1.2,11.9,3431,Aaron Nola
164,2023,605447,"Romano, Jordan",119,0.01168,16.8,0.6,0.6,2.8,2.7,3.8,0.6,19.1,930,Jordan Romano
165,2023,605463,"Scott, Tayler",99,6e-05,17.2,0.7,0.7,4.4,4.0,6.5,1.3,8.3,338,Tayler Scott
166,2023,605483,"Snell, Blake",103,0.00281,13.6,0.8,0.6,2.6,3.0,3.3,0.5,13.1,3168,Blake Snell
167,2023,605488,"Springs, Jeffrey",107,0.00493,18.5,1.7,1.3,3.9,6.1,4.6,1.1,17.6,211,Jeffrey Springs
168,2023,605498,"Suárez, Andrew",76,-0.0131,15.9,2.1,1.9,5.1,5.5,5.2,0.5,10.3,521,Andrew Suárez
169,2023,605513,"Turnbull, Spencer",99,1e-05,18.5,1.0,1.1,5.3,3.9,8.1,1.1,11.6,555,Spencer Turnbull
170,2023,605540,"Woodruff, Brandon",106,0.00426,22.7,1.4,1.4,4.7,5.3,6.1,0.8,15.7,1043,Brandon Woodruff
171,2023,606149,"Gallegos, Giovanny",92,-0.00355,14.2,1.6,1.1,3.4,3.9,3.4,0.4,14.5,870,Giovanny Gallegos
172,2023,606160,"Montero, Rafael",113,0.0082,20.3,0.8,0.6,3.8,3.8,6.1,1.6,13.4,1346,Rafael Montero
173,2023,606303,"Payamps, Joel",103,0.0027,17.9,1.1,1.1,4.6,4.1,6.3,0.8,14.2,1138,Joel Payamps
174,2023,606930,"Barnes, Jacob",95,-0.00202,22.1,1.9,1.5,5.3,5.3,6.7,0.4,14.9,208,Jacob Barnes
175,2023,606965,"Devenski, Chris",103,0.00227,11.1,0.6,0.5,2.0,2.4,2.5,1.0,11.8,704,Chris Devenski
176,2023,607067,"Rea, Colin",88,-0.00644,19.5,1.9,1.6,5.6,5.6,7.3,0.9,11.5,2016,Colin Rea
177,2023,607074,"Rodón, Carlos",100,0.00099,22.4,1.6,1.2,4.4,5.1,4.2,0.5,15.3,1133,Carlos Rodón
178,2023,607179,"Weems, Jordan",100,0.00071,20.7,1.5,1.5,4.8,4.8,5.9,0.5,15.6,920,Jordan Weems
179,2023,607192,"Glasnow, Tyler",124,0.01485,17.6,0.4,0.3,3.1,2.5,5.6,0.5,19.0,1992,Tyler Glasnow
180,2023,607237,"Garrett, Amir",84,-0.00824,19.2,2.0,1.4,4.4,5.0,4.9,0.9,10.7,476,Amir Garrett
181,2023,607259,"Martinez, Nick",95,-0.00197,18.1,1.6,0.9,4.9,5.3,6.2,1.0,12.2,1750,Nick Martinez
182,2023,607359,"Patton, Spencer",94,-0.00256,16.6,1.3,1.1,3.8,5.8,3.1,1.1,10.2,205,Spencer Patton
183,2023,607455,"Banda, Anthony",84,-0.00871,20.5,1.8,1.4,6.0,4.7,8.0,0.6,10.5,160,Anthony Banda
184,2023,607457,"Barraclough, Kyle",103,0.0024,15.5,0.9,0.5,3.5,4.6,4.3,1.5,10.3,156,Kyle Barraclough
185,2023,607481,"Bummer, Aaron",97,-0.00085,18.2,1.1,0.6,5.5,3.4,8.9,0.5,11.5,1099,Aaron Bummer
186,2023,607536,"Freeland, Kyle",70,-0.01643,16.7,2.4,1.7,5.6,4.9,6.8,1.0,8.6,2414,Kyle Freeland
187,2023,607625,"Lugo, Seth",94,-0.00271,18.4,1.3,1.2,4.6,4.3,6.8,0.8,10.6,2376,Seth Lugo
188,2023,607644,"Means, John",103,0.00252,16.4,1.2,0.9,2.9,5.7,2.4,1.3,12.0,339,John Means
189,2023,607755,"Vasquez, Andrew",104,0.00345,16.9,0.7,0.9,4.2,4.6,4.0,0.8,12.4,852,Andrew Vasquez
190,2023,607968,"Rucinski, Drew",87,-0.00654,15.8,1.6,1.0,4.3,4.6,5.1,1.2,9.9,350,Drew Rucinski
191,2023,608032,"Estévez, Carlos",101,0.00165,24.4,1.7,1.4,4.2,5.3,4.7,0.5,15.5,1127,Carlos Estévez
192,2023,608328,"De Jong, Chase",94,-0.00286,17.0,1.7,1.3,3.9,5.5,4.6,0.4,12.4,225,Chase De Jong
